映画タイトル,感想,評価,泣ける,笑える,勉強,キュキュン,怖い,ワクワク,ハラハラ,わかち書き
交換ウソ日記,こんな楽しい高校生活を私も送りたかったなと思うような映画でした。,5,3,2,1,5,1,2,1,こんな 楽しい 高校 生活 を 私 も 送る たい た な と 思う よう だ 映画 です た 。
スタンドバイミードラえもん,ドラえもんのために頑張るのび太が素敵✨,5,5,4,5,2,2,4,4,ドラえもん の ため に 頑張る のび太 が 素敵 ✨
魔法少女まどか☆マギカ[新編]叛逆の物語,戦闘シーンの作画がこだわりが多すぎて感動した。シャフトの本気を実感した。10回見ました。最近は0.5倍速にはまっています。今年の冬に続編公開予定です！！前売り券何枚買おうかな。,5,4,2,2,4,4,5,5,戦闘 シーン の 作画 が こだわり が 多い すぎる て 感動 する た 。 シャフト の 本気 を 実感 する た 。 10 回 見る ます た 。 最近 は 0.5 倍 速 に はまる て いる ます 。 今年 の 冬 に 続編 公開 予定 です ! ! 前売り 券 何枚 買う か な 。
ミスペレグリント奇妙な子供たち,ダークファンタジー風の物語。不思議な雰囲気が良かった。,4,3,3,2,3,3,4,4,ダーク ファンタジー 風 の 物語 。 不思議 だ 雰囲気 が 良い た 。
ちむどんどん,演出から俳優の演技の何から何まで酷かった。,1,1,1,1,1,1,1,1,演出 から 俳優 の 演技 の 何 から 何 まで 酷い た 。
刀剣乱舞-継承-,ゲーム刀剣乱舞初の実写映画。本能寺の変の歴史を守ろうとする刀剣男士の物語です。キャストに舞台で刀剣男士を演じている役者を起用しているのでとにかくアクションの迫力や勢い、臨場感がすごいです。ゲームのキャラクターですがキャストの演技もさることながら衣装やウィッグの再現度も見どころです。最後はほっこりしますかわいかったです。,5,3,2,4,1,2,5,5,ゲーム 刀剣 乱舞 初 の 実写 映画 。 本能 寺 の 変 の 歴史 を 守る と する 刀剣 男 士 の 物語 です 。 キャスト に 舞台 で 刀剣 男 士 を 演ずる て いる 役者 を 起用 する て いる の だ とにかく アクション の 迫力 や 勢い 、 臨場感 が すごい です 。 ゲーム の キャラクター です が キャスト の 演技 も さる こと ながら 衣装 や ウィッグ の 再現 度 も 見どころ です 。 最後 は ほっこり する ます かわいい た です 。
聲の形,耳の聞こえない女の子を小学校のクラス全員でいじめるのだが、主人公の男の子１人に責任を負わせ、次は男の子がいじめられる展開から始まるので、序盤はかなり胸糞の悪い映画。いじめから始まり、友情、恋愛感情、嫉妬心、様々な感情が入り混じっている考えさせられる作品。,４,３,１,５,２,３,３,５,耳 の 聞こえる ない 女の子 を 小学校 の クラス 全員 で いじめる の だ が 、 主人公 の 男の子 1人 に 責任 を 負う せる 、 次 は 男の子 が いじめる られる 展開 から 始まる の だ 、 序盤 は かなり 胸糞 の 悪い 映画 。 いじめ から 始まる 、 友情 、 恋愛 感情 、 嫉妬心 、 様々 だ 感情 が 入り混じる て いる 考え する せる られる 作品 。
ホーンテッド・キャンパス,ホラーと恋愛が融合した映画で、怖いシーンも多くありますが、主人公が所属するサークル内の人間関係の面白さなど、怖いけど見ていたくなる内容で、出演者をきっかけに見始めましたが、小説も読み始め、今21巻まで読み続けています。,5,2,3,2,4,5,1,2,ホラー と 恋愛 が 融合 する た 映画 で 、 怖い シーン も 多い ある ます が 、 主人公 が 所属 する サークル 内 の 人間関係 の 面白い さ など 、 怖い けど 見る て いる たい なる 内容 で 、 出演者 を きっかけ に 見る 始める ます た が 、 小説 も 読む 始める 、 今 21 巻 まで 読む 続ける て いる ます 。
そして、バトンは渡された,家族愛が感じられ、感動した。,5,5,1,2,3,1,1,1,家族 愛 が 感ずる られる 、 感動 する た 。
名探偵コナン　ベイカー街の亡霊,子供たちが協力しあい、助け合うところに感動する。何回も見たくなる。,5,4,2,4,1,3,3,4,子供たち が 協力 する あう 、 助け合う ところ に 感動 する 。 何回 も 見る たい なる 。
映画ドラえもん　のびたと鉄人兵団,鉄人兵団のリルルとピッポがのびた達とかかわることでの人間の良いところを知っていく。最後のシーンは何歳になっても大号泣する。,４,５,３,１,１,５,４,４,鉄人 兵団 の リルル と ピッポ が のびる た 達 と かかわる こと で の 人間 の 良い ところ を 知る て いく 。 最後 の シーン は 何歳 に なる て も 大 号泣 する 。
ローマの休日,すごく感動した。白黒だけど良い。オードリーヘップバーンかわいい,5,4,4,3,3,1,4,4,すごい 感動 する た 。 白黒 だ けど 良い 。 オードリーヘップバーン かわいい
ある閉ざされた雪の山荘で,最後まで展開が読めなくて目が離せなかった。,3,3,1,3,1,4,3,4,最後 まで 展開 が 読める ない て 目 が 離せる ない た 。
カールおじさんと空飛ぶ家,とても感動した。号泣。カールおじいさんと妻の話が特に泣けた記憶。,4,5,4,1,1,1,4,4,とても 感動 する た 。 号泣 。 カール お じい さん と 妻 の 話 が 特に 泣ける た 記憶 。
ドクターチョコレート,謎解き要素やサスペンス要素がチープだった,2,1,2,3,2,1,1,1,謎解き 要素 や サスペンス 要素 が チープ だ た
花郎(ドラマ),キラキラアイドル並べえただけで内容がなかった,1,2,1,2,2,1,1,1,キラキラ アイドル 並べる える た だけ で 内容 が ない た
魔法にかけられて,ストーリーは非現実的だが、歌がとてもいいです。,5,3,5,1,3,2,5,2,ストーリー は 非 現実的 だ が 、 歌 が とても いい です 。
ヒロイン失格,面白いし、キュンキュンする。,,,,,,,,,面白い し 、 キュンキュン する 。
